A-18277-25359       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18278-25911       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            119,704.00          
A-18283-27357       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18288-29098       AKORN PHARMACEUTICALSILLINOIS            60,112.00           
A-18303-35213       FOREVER 21, INC. (MERGED WITH FASHION 21, INC.)CALIFORNIA          47,632.00           
A-18334-46875       Golden Gate Scenic Steamship CorportaionCALIFORNIA          78,666.00           
A-18340-49317       MAJORPLATE CORPORATIONCALIFORNIA          22,277.00           
A-18345-51009       TECH MAHINDRA (AMERICAS) INC., (FORMERLY MBT INTERNATIONAL, INC.)TEXAS               74,734.00           
A-16216-38642       ECHELON SERVICES, INC.TEXAS               73,778.00           
A-17261-87952       JCG FOODS OF ALABAMA, LLCALABAMA             18,720.00           
A-17290-99548       GLOBUS MEDICAL INC. PENNSYLVANIA        90,646.00           
A-18024-34833       AMERICAN SAVINGS BANKHAWAII              130,478.00          
A-18036-39869       MILWAUKEE KICKERS SOCCER CLUBWISCONSIN           51,334.00           
A-18057-47360       CHRISTIE DIGITAL SYSTEMS USA, INC.CALIFORNIA          75,566.00           
A-18106-63913       LOCK PRO, LLC       KENTUCKY            17,389.00           
A-18107-64328       P.V.R. CONSTRUCTION, LLCTEXAS               54,122.00           
A-18107-64329       PROFICIENT BUSINESS SYSTEMS, INC.GEORGIA             107,307.00          
A-18108-65137       MESQUITE ISD        TEXAS               51,773.00           
A-18113-66880       KPIT INFOSYSTEMS INC.NEW JERSEY          114,026.00          
A-18113-66933       KPIT INFOSYSTEMS INC.NEW JERSEY          114,026.00          
A-18113-67026       OREGON TRADING USA INC.NEW YORK            73,403.00           
A-18115-67790       EQUINOX IT SOLUTIONS, LLCTEXAS               90,646.00           
A-18120-69526       YOUNGSOFT INC.      MICHIGAN            106,517.00          
A-18122-70655       OPTIMA FOODS, INC.  NEW YORK            33,488.00           
A-18123-71057       TEK LEADERS INC     TEXAS               90,646.00           
